repo_name,library,library_language,number_of_commits
CenterForOpenScience/ember-osf,ember-feature-flags,"JavaScript,TypeScript",2643
nypublicradio/wnyc-web-client,ember-feature-flags,"JavaScript,TypeScript",4082
ConnectedHomes/oam-monorepo-poc,ember-feature-flags,"JavaScript,TypeScript",3503
datacite/bracco,ember-feature-flags,"JavaScript,TypeScript",1720
lblod/frontend-gelinkt-notuleren,ember-feature-flags,"JavaScript,TypeScript",1241
travis-ci/travis-web,ember-feature-flags,"JavaScript,TypeScript",5838
ilios/common,ember-feature-flags,"JavaScript,TypeScript",2585
gregstewart/hearthstone-tracker,flipit,"JavaScript,TypeScript",1364
VivekBhat/Flag-Bot,launchdarkly,"JavaScript,TypeScript",186
zotoio/github-task-manager,launchdarkly,"JavaScript,TypeScript",547
AppImage/appimage.github.io,launchdarkly,"JavaScript,TypeScript",5389
phillfarrugia/koi,fflip,"JavaScript,TypeScript",157
madnight/gitter,fflip,"JavaScript,TypeScript",44200
ddicorpo/RecruitInc,fflip,"JavaScript,TypeScript",1085
launchdarkly/ios-client-sdk,launchdarkly,"Objective-C,Swift",437
he8us/DAS,Symfony FeatureFlagsBundle,PHP,112
launchdarkly/php-server-sdk,launchdarkly,PHP,408
radhack/php-local,launchdarkly,PHP,141
go1com/util,Toggle,PHP,2485
opensalt/opensalt,Toggle,PHP,2960
dvsa/olcs-backend,Toggle,PHP,12624
cultuurnet/udb3-silex,Toggle,PHP,2916
NixOS/nixpkgs,unleash-client-ruby,Ruby,204858
maxhbr/myconfig,unleash-client-ruby,Ruby,1475
gitlabhq/gitlabhq,unleash-client-ruby,Ruby,102508
communitiesuk/epb-find-assessor,unleash-client-ruby,Ruby,393
dtulibrary/toshokan,FeatureFlipper,Ruby,1115
siphomsiza/noted,rollout,Ruby,338
SuperCoder720/bike_index,rollout,Ruby,2042
johnCbogil/voices-web,rollout,Ruby,405
travis-ci/travis-scheduler,rollout,Ruby,745
yacc/stripemetrics.com,rollout,Ruby,183
travis-ci/travis-hub,rollout,Ruby,1827
chef/supermarket,rollout,Ruby,3824
travis-ci/travis-api,rollout,Ruby,4334
szemek/latajace-kregi,rollout,Ruby,442
otwcode/otwarchive,rollout,Ruby,14240
kimihito/idone,rollout,Ruby,1691
DFE-Digital/apply-for-postgraduate-teacher-training,rollout,Ruby,2850
fantasygame/campaigns,Flip,Ruby,506
bartlomiejh/workshop,Flip,Ruby,265
excellaco/open-cabinet,Flip,Ruby,582
ryanclark2/good-code-examples,Flip,Ruby,208
betagouv/boussole,Flip,Ruby,594
ClayShentrup/iris,Flip,Ruby,1022
scrutinizer-ci-testing/netguru-people,Flip,Ruby,4028
mattvanhorn/BJJLife,rollout,Ruby,261
vladiim/fitafy,rollout,Ruby,663
aerobicio/aerobic.io,rollout,Ruby,1213
edk/tribalknow,rollout,Ruby,505
mattdrees/mpdx,rollout,Ruby,812
ysadka/bartendr,rollout,Ruby,120
ilyakatz/werkd,rollout,Ruby,688
stantoncharlton/elephant,rollout,Ruby,1442
JackBracken/Scryer,rollout,Ruby,181
ManageIQ/depot.manageiq.org,rollout,Ruby,548
Peterortiz82/expense_pro,rollout,Ruby,173
yopage-generator/server,rollout,Ruby,817
ukparliament/parliament.uk-prototype,Bandiera,Ruby,1279
ukparliament/parliament.uk-search-prototype,Bandiera,Ruby,112
ukparliament/parliament.uk-lists,Bandiera,Ruby,324
ukparliament/parliament.uk-things,Bandiera,Ruby,527
ukparliament/parliament.uk-utilities,Bandiera,Ruby,387
syafik/simple-accounting,Setler,Ruby,304
spark-solutions/spark-starter-kit,Flipper,Ruby,695
zooniverse/caesar,Flipper,Ruby,1337
govau/performance-dashboard,Flipper,Ruby,131
lessy-community/lessy,Flipper,Ruby,710
carlosdeveloper11/rails_react_boilerplate,Flipper,Ruby,596
ipublic/marketplace,Flipper,Ruby,266
MAPC/digitalhub,Flipper,Ruby,770
hummingbird-me/kitsu-server,Flipper,Ruby,4136
LBHackney-IT/maintain-my-home,Flipper,Ruby,524
sergio-fry/youtube-fetcher,Flipper,Ruby,375
BLSQ/orbf2,Flipper,Ruby,1352
rubyforgood/diaper,Flipper,Ruby,2232
education/classroom,Flipper,Ruby,6872
ndlib/curate_nd,Flipper,Ruby,5716
TravisSperry/cpc,Flipper,Ruby,418
datacite/volpino,Flipper,Ruby,890
betagouv/demarches-simplifiees.fr,Flipper,Ruby,8849
exercism/website,Flipper,Ruby,2675
department-of-veterans-affairs/vets-api,Flipper,Ruby,4503
saml-kit/proof,Flipper,Ruby,641
rubyforgood/partner,Flipper,Ruby,496
datacite/lupo,Flipper,Ruby,2297
uktrade/export-opportunities,Flipper,Ruby,1767
zooniverse/Panoptes,Flipper,Ruby,4404
LBHackney-IT/repairs-management,Flipper,Ruby,865
nilenso/ashoka-user-owner,Feature,Ruby,404
ca-cwds/case-management,Feature,Ruby,261
surias/suryatest,Feature,Ruby,18207
moneyadviceservice/cms,Feature,Ruby,2315
ca-cwds/intake,Feature,Ruby,6847
ca-cwds/county-admin,Feature,Ruby,1178
KaurAvneet/Oculo,Feature,Ruby,11685
engineersftw/website,Feature,Ruby,375
ca-cwds/cans,Feature,Ruby,643
openSUSE/osem,Feature,Ruby,3531
lslm/franklin-bookstore,Feature,Ruby,124
ukparliament/parliament-utils,Bandiera,Ruby,105
ukparliament/parliament.uk-pugin-components-ruby,Bandiera,Ruby,702
alphagov/digitalmarketplace-user-frontend,Flask FeatureFlags,Python,528
dsimandl/teamsurmandl,Waffle,Python,217
shearichard/membaman,Waffle,Python,124
ccnmtl/brownfield_django,Waffle,Python,3282
alphagov/digitalmarketplace-admin-frontend,Flask FeatureFlags,Python,2102
ccnmtl/uelc,Waffle,Python,3452
apiaryio/polls-api,launchdarkly,Python,146
Etimo/photo-garden,unleash-client-node,"JavaScript,TypeScript",529
ccnmtl/countryx,Waffle,Python,1601
alphagov/digitalmarketplace-api,Flask FeatureFlags,Python,3227
datagraft/datagraft-portal,Flip,Ruby,720
bikeindex/bike_index,rollout,Ruby,3023
marcosptf/tnt-report,Flask FeatureFlags,Python,115
thraxil/auratus,Waffle,Python,834
thraxil/antisocial,Waffle,Python,1513
ccnmtl/match,Waffle,Python,1359
meetup/meetup-web-platform,launchdarkly,"JavaScript,TypeScript",3119
akinsgre/navigator,rollout,Ruby,364
thraxil/pixelvore,Waffle,Python,840
ccnmtl/footprints,Waffle,Python,3467
thraxil/sebastian,Waffle,Python,664
alphagov/digitalmarketplace-utils,Flask FeatureFlags,Python,1841
ccnmtl/pump,Waffle,Python,2294
alphagov/digitalmarketplace-search-api,Flask FeatureFlags,Python,708
ccnmtl/mediamachine,Waffle,Python,648
eskimosoup/banner_jones_2016,Flip,Ruby,1324
ccnmtl/plexus,Waffle,Python,2652
ccnmtl/wings,Waffle,Python,1054
dependabot/dependabot-core,Flask FeatureFlags,Python,9198
ccnmtl/dmt,Waffle,Python,5143
ccnmtl/worth2,Waffle,Python,3160
ccnmtl/videoanalytics,Waffle,Python,928
ccnmtl/ccnmtldjango,Waffle,Python,1199
thraxil/mithras,Waffle,Python,1059
ccnmtl/django-lti-provider-example,Waffle,Python,549
thraxil/maut,Waffle,Python,236
ccnmtl/smart_sa,Waffle,Python,2698
ccnmtl/teachdentistry,Waffle,Python,1150
ccnmtl/phtc,Waffle,Python,2434
ccnmtl/wardenclyffe,Waffle,Python,3991
thraxil/myopica,Waffle,Python,690
herdup/herd,Flip,Ruby,484
alphagov/digitalmarketplace-scripts,Flask FeatureFlags,Python,1645
josephruscio/twke,rollout,Ruby,160
ember-cli/ember-try,ember-feature-flags,"JavaScript,TypeScript",558
ccnmtl/wacep,Waffle,Python,1557
gabriprat/hoshinplan,Flipper,Ruby,2292
ccnmtl/pedialabsnew,Waffle,Python,1411
ccnmtl/carr,Waffle,Python,2073
rletters/rletters,Setler,Ruby,2440
ccnmtl/diabeaters,Waffle,Python,1070
dejwoo/xp_project,Waffle,Python,129
ORGAN-IZE/register,Waffle,Python,556
ccnmtl/blackrock,Waffle,Python,4204
Gaolz/rollout-fork,rollout,Ruby,132
kiddsoftware/srscollector,rollout,Ruby,255
ccnmtl/ssnm,Waffle,Python,1674
thraxil/spokehub,Waffle,Python,2520
ccnmtl/ccdb,Waffle,Python,1876
edx/programs,Waffle,Python,350
launchdarkly/ld-relay,launchdarkly,Go,322
travis-ci/travis-core,rollout,Ruby,3551
ccnmtl/tobaccocessation,Waffle,Python,2712
minefold/minefold,Flipper,Ruby,2829
alphagov/digitalmarketplace-supplier-frontend,Flask FeatureFlags,Python,3788
yusinto/ld-redux,launchdarkly,"JavaScript,TypeScript",153
ccnmtl/forest,Waffle,Python,1895
garrettqmartin8/verba,Feature,Ruby,342
alphagov/digitalmarketplace-buyer-frontend,Flask FeatureFlags,Python,3187
nilenso/ashoka-survey-web,Feature,Ruby,2780
trailhawks/lawrencetrailhawks,Waffle,Python,878
ccnmtl/meaningfulconsent,Waffle,Python,2189
ccnmtl/tala,Waffle,Python,693
ccnmtl/mvsim,Waffle,Python,2018
mysociety/alaveteli,Flipper,Ruby,15056
